name,lat,lng
Hévizgyörk,47.6316,19.5200
Gönyů,47.7333,17.8333
Csolnok,47.6935,18.7130
Kakucs,47.2500,19.3667
Múcsony,48.2687,20.6819
Harka,47.6333,16.6000
Pilisszántó,47.6698,18.8867
Sásd,46.2544,18.1058
Herceghalom,47.4971,18.7452
Sajólád,48.0436,20.9030
Sajóbábony,48.1742,20.7373
Sárisáp,47.6747,18.6810
Rétság,47.9296,19.1367
Andornaktálya,47.8444,20.4117
Forró,48.3242,21.0880
Répcelak,47.4211,17.0184
Pócsmegyer,47.7167,19.1000
Úrhida,47.1306,18.3319
Petőfibánya,47.7667,19.7167
Péteri,47.3833,19.4167
Szigetcsép,47.2667,18.9833
Verőcemaros,47.8333,19.0333
Kisbocskaykert,47.6423,21.6583
Győrújfalu,47.7224,17.6084
Szigetszentmárton,47.2333,18.9667
Kaposmérő,46.3601,17.7024
